indexID,ticker,porgFullName,secShortName,exchangeCD,tradeDate,preCloseIndex,openIndex,lowestIndex,highestIndex,closeIndex,turnoverVol,turnoverValue,CHG,CHGPct
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-03-20,3582.271,3587.084,3569.38,3632.338,3617.318,51666166900,6.51771976728e+11,35.047,0.009783
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-03-23,3617.318,3640.104,3635.485,3688.249,3687.728,53606283200,6.61574620089e+11,70.41,0.019465
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-03-24,3687.728,3692.569,3600.698,3715.873,3691.41,63955466900,7.5488473476e+11,3.682,0.000998
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-03-25,3691.41,3680.953,3634.559,3693.151,3660.727,52188634800,6.45498915766e+11,-30.683,-0.008312
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-03-26,3660.727,3641.942,3615.011,3707.318,3682.095,48864720300,6.19515611668e+11,21.368,0.005837
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-03-27,3682.095,3686.134,3656.831,3710.477,3691.096,40894516500,5.0929846295e+11,9.001,0.002445
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-03-30,3691.096,3710.612,3710.612,3795.935,3786.568,56470235300,6.92125351313e+11,95.472,0.025865
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-03-31,3786.568,3822.987,3737.043,3835.567,3747.899,56167603700,7.21294947424e+11,-38.669,-0.010212
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-04-01,3747.899,3748.34,3742.213,3817.082,3810.294,44745831900,5.92418305846e+11,62.395,0.016648
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-04-02,3810.294,3827.689,3775.894,3835.451,3825.784,47929967300,6.32028908257e+11,15.49,0.004065
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-04-03,3825.784,3803.383,3792.211,3864.405,3863.929,47303331100,6.35651328025e+11,38.145,0.009971
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-04-07,3863.929,3899.42,3891.728,3961.666,3961.378,57044753500,7.4642400204e+11,97.449,0.02522
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-04-08,3961.378,3976.532,3903.648,4000.22,3994.811,61808541900,8.39159306737e+11,33.433,0.00844
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-04-09,3994.811,4006.13,3900.027,4016.396,3957.534,58517682500,8.16710896323e+11,-37.277,-0.009331
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-04-10,3957.534,3947.492,3929.319,4040.348,4034.31,48428361900,6.6850417593e+11,76.776,0.0194
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-04-13,4034.31,4072.723,4057.293,4128.072,4121.715,58981422700,7.81667346039e+11,87.405,0.021665
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-04-14,4121.715,4125.782,4091.257,4168.346,4135.565,61068354100,8.14645192545e+11,13.85,0.00336
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-04-15,4135.565,4135.648,4069.007,4175.494,4084.163,61300581200,7.73125881558e+11,-51.402,-0.012429
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-04-16,4084.163,4055.916,4031.244,4195.305,4194.823,55124295600,7.12082436676e+11,110.66,0.027095
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-04-17,4194.823,4254.723,4238.91,4317.223,4287.296,70170620500,9.1563303783e+11,92.473,0.022045
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-04-20,4287.296,4301.352,4190.681,4356.001,4217.077,85713280700,1.14760060426e+12,-70.219,-0.016378
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-04-21,4217.077,4212.185,4188.569,4294.375,4293.623,63447062700,8.62447782633e+11,76.546,0.018151
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-04-22,4293.623,4304.597,4297.951,4400.193,4398.494,68030508600,9.76876960434e+11,104.871,0.024425
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-04-23,4398.494,4414.485,4358.844,4444.41,4414.508,66734466100,9.63024929251e+11,16.014,0.003641
