ticker,20080530Value,20080530PB,20090601Value,20090601PB,20100601Value,20100601PB,20110601Value,20110601PB,20120601Value,20120601PB,20130531Value,20130531PB,20140530Value,20140530PB,20150601Value,20150601PB
600776,7837440399.36,3.3717,6581440335.36,2.7648,6468400329.6,2.6987,9156240466.56,3.5808,7121520362.88,2.7473,6794960346.24,2.5254,15712560800.6,5.6799,26112242079.0,9.0244
600804,10720587979.2,6.8386,10422722542.5,5.8605,11993071793.9,3.5989,10440397320.6,3.0442,9208965841.76,2.5612,17266810953.3,4.4727,19378195887.9,4.2965,61586349020.8,12.0536
600978,7106314288.45,2.8576,5294572523.86,1.9912,5545738203.36,1.8645,7123455597.24,1.7908,6501017729.52,1.5617,6316591694.64,1.4213,7280891719.64,1.1937,28322817000.0,4.3597
600997,25461644000.0,7.782,21865474400.0,4.815,20087592800.0,3.8466,20803684000.0,3.4526,15420653600.0,2.2933,10049969600.0,1.4676,5531187200.0,0.783,11247570400.0,1.6187
601001,22779057000.0,5.6064,30770974500.0,4.466,27691366500.0,3.1873,29373435000.0,3.0274,21423360000.0,1.838,12837279000.0,1.402,10008726000.0,1.2006,19347972000.0,2.7451
601002,4482512900.0,2.9332,6025915200.0,3.7055,4416050600.0,2.7018,13048764900.0,7.1071,9769958100.0,5.9058,7222236600.0,4.3435,6127493700.0,2.6506,16162949100.0,6.9673
601006,1.94781124476e+11,4.9157,1.21981516994e+11,2.9194,1.09523830152e+11,2.4201,1.27557070993e+11,2.1348,1.10460260778e+11,1.6674,1.05108215841e+11,1.4281,99756170904.6,1.2377,1.91930278265e+11,2.1931
601111,1.50569242335e+11,4.7105,79511341151.8,3.8312,1.29864440094e+11,4.9793,1.22086810753e+11,2.8271,81348233986.6,1.7317,69480027831.2,1.3415,42917983293.1,0.7886,1.5335328172e+11,2.735
601166,1.725e+11,4.1052,1.4685e+11,2.8245,1.403e+11,2.2736,1.51441212321e+11,1.5596,1.4410645275e+11,1.1626,2.35486882242e+11,1.2991,1.87284470262e+11,0.8726,3.56469221528e+11,1.3707
601318,4.13526502704e+11,4.3946,3.20023973762e+11,3.8656,3.51019004865e+11,3.9145,3.70664450041e+11,3.1176,3.3382371202e+11,2.3751,3.13558388264e+11,1.8616,3.15695845771e+11,1.6308,7.98937950387e+11,2.5385
